id,name,model_name,category,difficulty,original_complexity,target_complexity,original_code,generated_code,latency_ms,prompt_tokens,reasoning_tokens,completion_tokens,total_tokens,api_status,error_detail,verdict,optimized_complexity_time,complexity_improved,verify_latency_ms
TYR-011,min_abs_pair_diff,grok-3,pair-finding,easy,O(N^2),O(N log N),"def min_abs_pair_diff(nums):
    if len(nums) < 2:
        return 0
    best = abs(nums[0] - nums[1])
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            d = abs(nums[i] - nums[j])
            if d < best:
                best = d
    return best
","def min_abs_pair_diff(nums):
    if len(nums) < 2:
        return 0
    nums.sort()
    min_diff = float('inf')
    for i in range(len(nums) - 1):
        diff = abs(nums[i] - nums[i + 1])
        min_diff = min(min_diff, diff)
    return min_diff",56593.98,133,0,73,206,OK,"Tyr: WARNING — Z3 symbolic solving timed out. Concrete testing across 24 inputs found no divergence, but this is empirical testing only, NOT a formal proof of equivalence. Edge-case bugs may still exist.",WARNING,O(n^2),Same,1739.22
TYR-012,count_reverse_pairs,grok-3,pair-finding,medium,O(N^2),O(N log N),"def count_reverse_pairs(nums):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] > 2 * nums[j]:
                count += 1
    return count
","def count_reverse_pairs(nums):
    def merge_and_count(left, right):
        merged = []
        count = 0
        i = j = 0
        
        # Count reverse pairs
        while i < len(left) and j < len(right):
            if left[i] > 2 * right[j]:
                count += len(left) - i
                j += 1
            else:
                i += 1
                
        # Merge the arrays
        i = j = 0
        while i < len(left) and j < len(right):
            if left[i] <= right[j]:
                merged.append(left[i])
                i += 1
            else:
                merged.append(right[j])
                j += 1
                
        merged.extend(left[i:])
        merged.extend(right[j:])
        return merged, count
    
    def merge_sort_and_count(arr):
        if len(arr) <= 1:
            return arr, 0
            
        mid = len(arr) // 2
        left, left_count = merge_sort_and_count(arr[:mid])
        right, right_count = merge_sort_and_count(arr[mid:])
        merged, cross_count = merge_and_count(left, right)
        
        return merged, left_count + right_count + cross_count
    
    _, count = merge_sort_and_count(nums)
    return count",60443.83,107,0,270,377,OK,"Tyr: WARNING — Z3 symbolic solving timed out. Concrete testing across 24 inputs found no divergence, but this is empirical testing only, NOT a formal proof of equivalence. Edge-case bugs may still exist.",WARNING,O(n^2),Same,1327.61
TYR-013,count_pairs_abs_diff_k,grok-3,pair-finding,easy,O(N^2),O(N),"def count_pairs_abs_diff_k(nums, k):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if abs(nums[i] - nums[j]) == k:
                count += 1
    return count
","def count_pairs_abs_diff_k(nums, k):
    freq = {}
    count = 0
    
    for num in nums:
        count += freq.get(num - k, 0)
        count += freq.get(num + k, 0)
        freq[num] = freq.get(num, 0) + 1
        
    return count",51824.28,110,0,69,179,OK,Tyr: Verification Failed (SAT). A counterexample was found — the optimized code changes behaviour for the inputs shown.,SAT,O(n),True,2738.83
TYR-014,count_distinct_pair_sums,grok-3,pair-finding,medium,O(N^2),O(N),"def count_distinct_pair_sums(nums):
    seen = {}
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            seen[s] = 1
    total = 0
    for k in seen:
        total += 1
    return total
","def count_distinct_pair_sums(nums):
    seen = set()
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            seen.add(nums[i] + nums[j])
    return len(seen)",54481.43,124,0,51,175,OK,Tyr: Verification Failed (SAT). A counterexample was found — the optimized code changes behaviour for the inputs shown.,SAT,O(n^2),Same,24194.50
TYR-015,two_sum_less_than_k,grok-3,pair-finding,medium,O(N^2),O(N log N),"def two_sum_less_than_k(nums, k):
    best = -1
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if s < k and s > best:
                best = s
    return best
","def two_sum_less_than_k(nums, k):
    nums.sort()
    left = 0
    right = len(nums) - 1
    best = -1
    
    while left < right:
        current_sum = nums[left] + nums[right]
        if current_sum < k:
            best = max(best, current_sum)
            left += 1
        else:
            right -= 1
            
    return best",58083.50,118,0,87,205,OK,"Tyr: WARNING — Z3 symbolic solving timed out. Concrete testing across 400 inputs found no divergence, but this is empirical testing only, NOT a formal proof of equivalence. Edge-case bugs may still exist.",WARNING,O(n^2),Same,1895.57
TYR-016,most_frequent_element,grok-3,frequency,easy,O(N^2),O(N),"def most_frequent_element(nums):
    if len(nums) == 0:
        return -1
    best = nums[0]
    best_count = 0
    for i in range(len(nums)):
        count = 0
        for j in range(len(nums)):
            if nums[j] == nums[i]:
                count += 1
        if count > best_count:
            best_count = count
            best = nums[i]
    return best
","def most_frequent_element(nums):
    if not nums:
        return -1
    freq_map = {}
    for num in nums:
        freq_map[num] = freq_map.get(num, 0) + 1
    return max(freq_map, key=freq_map.get)",55193.68,145,0,58,203,OK,"Tyr: WARNING — Z3 symbolic solving timed out. Concrete testing across 24 inputs found no divergence, but this is empirical testing only, NOT a formal proof of equivalence. Edge-case bugs may still exist.",WARNING,O(n),True,1611.78
TYR-017,has_duplicate,grok-3,frequency,easy,O(N^2),O(N),"def has_duplicate(nums):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] == nums[j]:
                return 1
    return 0
","def has_duplicate(nums):
    seen = set()
    for num in nums:
        if num in seen:
            return 1
        seen.add(num)
    return 0",65534.39,95,0,36,131,OK,"Tyr: Formal Proof Successful (UNSAT). The optimized code is mathematically equivalent to the original STRICTLY WITHIN the Bounded Model Checking limits (lists ≤ 5 elements, symbolic ranges ≤ 10 iterations, while-loops ≤ 30 iterations). No counterexample exists in this bounded domain.",UNSAT,O(n),True,1179.53
TYR-018,first_non_repeating,grok-3,frequency,easy,O(N^2),O(N),"def first_non_repeating(nums):
    for i in range(len(nums)):
        found_dup = 0
        for j in range(len(nums)):
            if i != j and nums[i] == nums[j]:
                found_dup = 1
        if found_dup == 0:
            return nums[i]
    return -1
","def first_non_repeating(nums):
    freq = {}
    for num in nums:
        freq[num] = freq.get(num, 0) + 1
    for num in nums:
        if freq[num] == 1:
            return num
    return -1",55486.59,118,0,56,174,OK,"Tyr: Formal Proof Successful (UNSAT). The optimized code is mathematically equivalent to the original STRICTLY WITHIN the Bounded Model Checking limits (lists ≤ 5 elements, symbolic ranges ≤ 10 iterations, while-loops ≤ 30 iterations). No counterexample exists in this bounded domain.",UNSAT,O(n),True,2098.13
TYR-019,count_distinct,grok-3,frequency,easy,O(N^2),O(N),"def count_distinct(nums):
    count = 0
    for i in range(len(nums)):
        is_first = 1
        for j in range(i):
            if nums[j] == nums[i]:
                is_first = 0
        count += is_first
    return count
","def count_distinct(nums):
    return len(set(nums))",55980.21,110,0,12,122,OK,Tyr: Verification Failed (SAT). A counterexample was found — the optimized code changes behaviour for the inputs shown.,SAT,O(1),True,775.81
TYR-020,majority_element,grok-3,frequency,easy,O(N^2),O(N),"def majority_element(nums):
    n = len(nums)
    for i in range(n):
        count = 0
        for j in range(n):
            if nums[j] == nums[i]:
                count += 1
        if count > n // 2:
            return nums[i]
    return -1
","def majority_element(nums):
    count = 0
    candidate = None
    
    for num in nums:
        if count == 0:
            candidate = num
        count += (1 if num == candidate else -1)
    
    return candidate if nums.count(candidate) > len(nums) // 2 else -1",11105.50,115,0,66,181,OK,"Tyr: Formal Proof Successful (UNSAT). The optimized code is mathematically equivalent to the original STRICTLY WITHIN the Bounded Model Checking limits (lists ≤ 5 elements, symbolic ranges ≤ 10 iterations, while-loops ≤ 30 iterations). No counterexample exists in this bounded domain.",UNSAT,O(n),True,1708.13
TYR-021,find_first_duplicate,grok-3,frequency,easy,O(N^2),O(N),"def find_first_duplicate(nums):
    for i in range(len(nums)):
        for j in range(i):
            if nums[j] == nums[i]:
                return nums[i]
    return -1
","def find_first_duplicate(nums):
    seen = set()
    for num in nums:
        if num in seen:
            return num
        seen.add(num)
    return -1",47516.43,90,0,36,126,OK,"Tyr: Formal Proof Successful (UNSAT). The optimized code is mathematically equivalent to the original STRICTLY WITHIN the Bounded Model Checking limits (lists ≤ 5 elements, symbolic ranges ≤ 10 iterations, while-loops ≤ 30 iterations). No counterexample exists in this bounded domain.",UNSAT,O(n),True,801.97
TYR-022,count_elements_appearing_twice,grok-3,frequency,medium,O(N^2),O(N),"def count_elements_appearing_twice(nums):
    result = 0
    for i in range(len(nums)):
        is_first = 1
        for k in range(i):
            if nums[k] == nums[i]:
                is_first = 0
        if is_first == 0:
            continue
        count = 0
        for j in range(len(nums)):
            if nums[j] == nums[i]:
                count += 1
        if count == 2:
            result += 1
    return result
","def count_elements_appearing_twice(nums):
    freq = {}
    for num in nums:
        freq[num] = freq.get(num, 0) + 1
    return sum(1 for count in freq.values() if count == 2)",5231.75,160,0,52,212,OK,Tyr: Verification Failed (SAT). A counterexample was found — the optimized code changes behaviour for the inputs shown.,SAT,O(n),True,1425.06
TYR-023,count_inversions,grok-3,frequency,medium,O(N^2),O(N log N),"def count_inversions(nums):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] > nums[j]:
                count += 1
    return count
","def count_inversions(nums):
    def merge_and_count(left, right):
        merged = []
        count = 0
        i = j = 0
        
        while i < len(left) and j < len(right):
            if left[i] <= right[j]:
                merged.append(left[i])
                i += 1
            else:
                merged.append(right[j])
                count += len(left) - i
                j += 1
                
        merged.extend(left[i:])
        merged.extend(right[j:])
        return merged, count
    
    def merge_sort_and_count(arr):
        if len(arr) <= 1:
            return arr, 0
            
        mid = len(arr) // 2
        left, left_count = merge_sort_and_count(arr[:mid])
        right, right_count = merge_sort_and_count(arr[mid:])
        merged, merge_count = merge_and_count(left, right)
        
        return merged, left_count + right_count + merge_count
    
    _, inversions = merge_sort_and_count(nums)
    return inversions",4472.37,104,0,212,316,OK,"Tyr: WARNING — Z3 symbolic solving timed out. Concrete testing across 24 inputs found no divergence, but this is empirical testing only, NOT a formal proof of equivalence. Edge-case bugs may still exist.",WARNING,O(n^2),Same,1308.32
TYR-024,missing_number,grok-3,frequency,easy,O(N^2),O(N),"def missing_number(nums):
    n = len(nums)
    for i in range(n + 1):
        found = 0
        for j in range(n):
            if nums[j] == i:
                found = 1
        if found == 0:
            return i
    return -1
","def missing_number(nums):
    n = len(nums)
    expected_sum = (n * (n + 1)) // 2
    actual_sum = sum(nums)
    return expected_sum - actual_sum",55173.32,114,0,42,156,OK,Tyr: Verification Failed (SAT). A counterexample was found — the optimized code changes behaviour for the inputs shown.,SAT,O(1),True,2138.88
TYR-025,count_matching_last_digit_pairs,grok-3,frequency,easy,O(N^2),O(N),"def count_matching_last_digit_pairs(nums):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] % 10 == nums[j] % 10:
                count += 1
    return count
","def count_matching_last_digit_pairs(nums):
    digit_count = [0] * 10
    for num in nums:
        last_digit = num % 10
        digit_count[last_digit] += 1
    
    count = 0
    for freq in digit_count:
        if freq > 1:
            count += (freq * (freq - 1)) // 2
            
    return count",61751.52,111,0,83,194,OK,b'parser error',ERROR,O(n),True,1443.64
TYR-026,count_unique_elements,grok-3,frequency,easy,O(N^2),O(N),"def count_unique_elements(nums):
    count = 0
    for i in range(len(nums)):
        freq = 0
        for j in range(len(nums)):
            if nums[j] == nums[i]:
                freq += 1
        if freq == 1:
            count += 1
    return count
","def count_unique_elements(nums):
    freq_map = {}
    for num in nums:
        freq_map[num] = freq_map.get(num, 0) + 1
    return sum(1 for freq in freq_map.values() if freq == 1)",85872.09,116,0,53,169,OK,Tyr: Verification Failed (SAT). A counterexample was found — the optimized code changes behaviour for the inputs shown.,SAT,O(n),True,1940.26
TYR-027,single_number,grok-3,frequency,easy,O(N^2),O(N),"def single_number(nums):
    for i in range(len(nums)):
        count = 0
        for j in range(len(nums)):
            if nums[j] == nums[i]:
                count += 1
        if count == 1:
            return nums[i]
    return -1
","def single_number(nums):
    result = 0
    for num in nums:
        result ^= num
    return result",36638.40,109,0,25,134,OK,unsupported operand type(s) for ^: 'IntNumRef' and 'ArithRef',ERROR,O(n),True,1291.10
TYR-028,count_greater_than_all_right,grok-3,frequency,medium,O(N^2),O(N),"def count_greater_than_all_right(nums):
    count = 0
    n = len(nums)
    for i in range(n):
        is_leader = 1
        for j in range(i + 1, n):
            if nums[j] >= nums[i]:
                is_leader = 0
        count += is_leader
    return count
","def count_greater_than_all_right(nums):
    if not nums:
        return 0
    count = 1
    max_so_far = nums[-1]
    for i in range(len(nums) - 2, -1, -1):
        if nums[i] > max_so_far:
            count += 1
            max_so_far = nums[i]
    return count",47890.61,123,0,79,202,OK,"Tyr: WARNING — Z3 symbolic solving timed out. Concrete testing across 24 inputs found no divergence, but this is empirical testing only, NOT a formal proof of equivalence. Edge-case bugs may still exist.",WARNING,O(n),True,1523.61
TYR-029,kth_largest,grok-3,frequency,medium,O(N^2),O(N log N),"def kth_largest(nums, k):
    n = len(nums)
    for target_rank in range(k):
        max_val = nums[0]
        max_idx = 0
        for i in range(1, n):
            if nums[i] > max_val:
                max_val = nums[i]
                max_idx = i
        if target_rank == k - 1:
            return max_val
        nums[max_idx] = nums[0] - 1
    return -1
","def kth_largest(nums, k):
    return sorted(nums, reverse=True)[k-1]",55745.42,156,0,21,177,OK,Tyr: Verification Failed (SAT via concrete testing). 295 divergence(s) found across 400 test inputs.,SAT,O(n log n),True,2301.17
TYR-030,frequency_of_max,grok-3,frequency,easy,O(N),O(N),"def frequency_of_max(nums):
    if len(nums) == 0:
        return 0
    max_val = nums[0]
    for i in range(len(nums)):
        if nums[i] > max_val:
            max_val = nums[i]
    count = 0
    for i in range(len(nums)):
        if nums[i] == max_val:
            count += 1
    return count
","def frequency_of_max(nums):
    if not nums:
        return 0
    max_val = nums[0]
    count = 1
    for num in nums[1:]:
        if num > max_val:
            max_val = num
            count = 1
        elif num == max_val:
            count += 1
    return count",61200.59,135,0,74,209,OK,"Tyr: WARNING — Z3 symbolic solving timed out. Concrete testing across 24 inputs found no divergence, but this is empirical testing only, NOT a formal proof of equivalence. Edge-case bugs may still exist.",WARNING,O(n),Same,596.42
TYR-031,max_subarray_sum,grok-3,subarray,medium,O(N^2),O(N),"def max_subarray_sum(nums):
    if len(nums) == 0:
        return 0
    best = nums[0]
    n = len(nums)
    for i in range(n):
        cur = 0
        for j in range(i, n):
            cur += nums[j]
            if cur > best:
                best = cur
    return best
","def max_subarray_sum(nums):
    if not nums:
        return 0
    max_so_far = nums[0]
    max_ending_here = nums[0]
    for num in nums[1:]:
        max_ending_here = max(num, max_ending_here + num)
        max_so_far = max(max_so_far, max_ending_here)
    return max_so_far",53367.13,127,0,81,208,OK,"Tyr: WARNING — Z3 symbolic solving timed out. Concrete testing across 24 inputs found no divergence, but this is empirical testing only, NOT a formal proof of equivalence. Edge-case bugs may still exist.",WARNING,O(n),True,1544.23
TYR-032,has_subarray_with_sum,grok-3,subarray,medium,O(N^2),O(N),"def has_subarray_with_sum(nums, target):
    n = len(nums)
    for i in range(n):
        cur = 0
        for j in range(i, n):
            cur += nums[j]
            if cur == target:
                return 1
    return 0
","def has_subarray_with_sum(nums, target):
    prefix_sum = 0
    seen = {0: True}
    for num in nums:
        prefix_sum += num
        if prefix_sum - target in seen:
            return 1
        seen[prefix_sum] = True
    return 0",58754.20,110,0,64,174,OK,Tyr: Verification Failed (SAT). A counterexample was found — the optimized code changes behaviour for the inputs shown.,SAT,O(n),True,1542.80
TYR-033,count_subarrays_with_sum,grok-3,subarray,medium,O(N^2),O(N),"def count_subarrays_with_sum(nums, k):
    count = 0
    n = len(nums)
    for i in range(n):
        cur = 0
        for j in range(i, n):
            cur += nums[j]
            if cur == k:
                count += 1
    return count
","def count_subarrays_with_sum(nums, k):
    count = 0
    prefix_sum = 0
    sum_freq = {0: 1}
    
    for num in nums:
        prefix_sum += num
        if prefix_sum - k in sum_freq:
            count += sum_freq[prefix_sum - k]
        sum_freq[prefix_sum] = sum_freq.get(prefix_sum, 0) + 1
            
    return count",58099.49,116,0,91,207,OK,"Tyr: Formal Proof Successful (UNSAT). The optimized code is mathematically equivalent to the original STRICTLY WITHIN the Bounded Model Checking limits (lists ≤ 5 elements, symbolic ranges ≤ 10 iterations, while-loops ≤ 30 iterations). No counterexample exists in this bounded domain.",UNSAT,O(n),True,7257.62
TYR-034,longest_subarray_sum_k,grok-3,subarray,medium,O(N^2),O(N),"def longest_subarray_sum_k(nums, k):
    best = 0
    n = len(nums)
    for i in range(n):
        cur = 0
        for j in range(i, n):
            cur += nums[j]
            if cur == k:
                length = j - i + 1
                if length > best:
                    best = length
    return best
","def longest_subarray_sum_k(nums, k):
    prefix_sum = 0
    max_length = 0
    sum_index = {0: -1}  # Initialize with 0 sum at index -1
    
    for i in range(len(nums)):
        prefix_sum += nums[i]
        if prefix_sum - k in sum_index:
            max_length = max(max_length, i - sum_index[prefix_sum - k])
        if prefix_sum not in sum_index:
            sum_index[prefix_sum] = i
            
    return max_length",57964.77,131,0,112,243,OK,"Tyr: Formal Proof Successful (UNSAT). The optimized code is mathematically equivalent to the original STRICTLY WITHIN the Bounded Model Checking limits (lists ≤ 5 elements, symbolic ranges ≤ 10 iterations, while-loops ≤ 30 iterations). No counterexample exists in this bounded domain.",UNSAT,O(n),True,3973.36
TYR-035,max_window_sum_size_k,grok-3,subarray,easy,O(N^2),O(N),"def max_window_sum_size_k(nums, k):
    if len(nums) == 0 or k <= 0:
        return 0
    best = 0
    n = len(nums)
    for i in range(n - k + 1):
        cur = 0
        for j in range(i, i + k):
            cur += nums[j]
        if i == 0 or cur > best:
            best = cur
    return best
","def max_window_sum_size_k(nums, k):
    if len(nums) < k or k <= 0:
        return 0
    
    # Calculate sum of first window of size k
    window_sum = sum(nums[:k])
    max_sum = window_sum
    
    # Slide the window and update max_sum
    for i in range(len(nums) - k):
        window_sum = window_sum - nums[i] + nums[i + k]
        max_sum = max(max_sum, window_sum)
    
    return max_sum",59394.94,146,0,108,254,OK,"Tyr: WARNING — Z3 symbolic solving timed out. Concrete testing across 400 inputs found no divergence, but this is empirical testing only, NOT a formal proof of equivalence. Edge-case bugs may still exist.",WARNING,O(n),True,799.22
TYR-036,min_subarray_len_ge_target,grok-3,subarray,medium,O(N^2),O(N),"def min_subarray_len_ge_target(nums, target):
    best = 0
    n = len(nums)
    for i in range(n):
        cur = 0
        for j in range(i, n):
            cur += nums[j]
            if cur >= target:
                length = j - i + 1
                if best == 0 or length < best:
                    best = length
                break
    return best
","def min_subarray_len_ge_target(nums, target):
    n = len(nums)
    if n == 0:
        return 0
        
    best = float('inf')
    curr_sum = 0
    left = 0
    
    for right in range(n):
        curr_sum += nums[right]
        
        while curr_sum >= target:
            best = min(best, right - left + 1)
            curr_sum -= nums[left]
            left += 1
            
    return best if best != float('inf') else 0",51351.19,140,0,110,250,OK,Tyr: Verification Failed (SAT via concrete testing). 160 divergence(s) found across 400 test inputs.,SAT,O(n^2),Same,903.54
TYR-037,max_product_pair,grok-3,subarray,easy,O(N^2),O(N),"def max_product_pair(nums):
    if len(nums) < 2:
        return 0
    best = nums[0] * nums[1]
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            p = nums[i] * nums[j]
            if p > best:
                best = p
    return best
","def max_product_pair(nums):
    if len(nums) < 2:
        return 0
    max1 = float('-inf')
    max2 = float('-inf')
    min1 = float('inf')
    min2 = float('inf')
    
    for num in nums:
        if num > max1:
            max2 = max1
            max1 = num
        elif num > max2:
            max2 = num
        if num < min1:
            min2 = min1
            min1 = num
        elif num < min2:
            min2 = num
            
    return max(max1 * max2, min1 * min2)",61603.25,128,0,140,268,OK,Tyr: Verification Failed (SAT). A counterexample was found — the optimized code changes behaviour for the inputs shown.,SAT,O(n),True,1634.64
TYR-038,longest_increasing_run,grok-3,subarray,easy,O(N^2),O(N),"def longest_increasing_run(nums):
    if len(nums) == 0:
        return 0
    best = 1
    n = len(nums)
    for i in range(n):
        length = 1
        for j in range(i + 1, n):
            if nums[j] > nums[j - 1]:
                length += 1
            else:
                break
        if length > best:
            best = length
    return best
","def longest_increasing_run(nums):
    if not nums:
        return 0
    max_length = 1
    current_length = 1
    for i in range(1, len(nums)):
        if nums[i] > nums[i - 1]:
            current_length += 1
            max_length = max(max_length, current_length)
        else:
            current_length = 1
    return max_length",56197.85,147,0,86,233,OK,"Tyr: WARNING — Z3 symbolic solving timed out. Concrete testing across 24 inputs found no divergence, but this is empirical testing only, NOT a formal proof of equivalence. Edge-case bugs may still exist.",WARNING,O(n),True,483.89
